feature,importance
ShapeFactor1,0.08984548012326535
MinorAxisLength,0.08956223110349393
ShapeFactor3,0.08607676606670242
Compactness,0.08012124403648818
ConvexArea,0.07477022245561711
MajorAxisLength,0.071396604841215
Area,0.06580862826367744
EquivDiameter,0.06532271075138828
AspectRation,0.05264157975569963
Eccentricity,0.052534315572664046
Perimeter,0.04966912156789332
AxisLengthDiff,0.041088616318217
ShapeFactor2,0.041040070571488556
roundness,0.04018595603270823
PerimeterDiameterRatio,0.029600288194145077
ShapeFactor4,0.026309025382544992
ConvexGap,0.01433572813979421
AreaConvexRatio,0.011127524641611725
Solidity,0.009689438806670808
Extent,0.00887444737471465
